prefec_name,minlon,maxlon,minlat,maxlat
北海道,139.33444444444444,148.89305555555555,41.35194444444445,45.55722222222222
青森県,139.49694444444444,141.68333333333334,40.217777777777776,41.55611111111111
岩手県,140.65305555555557,142.0725,38.74777777777778,40.45055555555556
宮城県,140.275,141.67527777777778,37.77333333333333,39.00277777777778
秋田県,139.69222222222223,140.99527777777777,38.87305555555555,40.51111111111111
山形県,139.52027777777778,140.64666666666665,37.73388888888889,39.20861111111111
福島県,139.16472222222222,141.04361111111112,36.79138888888889,37.97666666666667
茨城県,139.6875,140.85166666666666,35.73916666666667,36.945277777777775
栃木県,139.32638888888889,140.2925,36.19972222222222,37.155
群馬県,138.39694444444444,139.66972222222222,35.985,37.058611111111105
埼玉県,138.71138888888888,139.90027777777777,35.75361111111111,36.28333333333333
千葉県,139.73916666666665,140.8725,34.89944444444444,36.10388888888889
東京都,136.06972222222223,153.98638888888888,20.42527777777778,35.89833333333333
神奈川県,138.91583333333335,139.79611111111112,35.12888888888889,35.672777777777775
山梨県,138.18027777777777,139.13444444444443,35.16833333333333,35.97166666666667
長野県,137.32472222222222,138.73944444444444,35.198611111111106,37.030277777777776
新潟県,137.635,139.9,36.73638888888889,38.55333333333333
富山県,136.76833333333335,137.76333333333332,36.27444444444444,36.98027777777778
石川県,136.24305555555554,137.36527777777778,36.066944444444445,37.85527777777778
福井県,135.44944444444445,136.8322222222222,35.343333333333334,36.29666666666667
岐阜県,136.2763888888889,137.65305555555557,35.13388888888889,36.465
静岡県,137.47416666666666,139.17666666666665,34.57361111111111,35.645833333333336
愛知県,136.67083333333332,137.83805555555557,34.57805555555556,35.425
三重県,135.85333333333332,136.98749999999998,33.72277777777778,35.257777777777775
滋賀県,135.76388888888889,136.45527777777778,34.79083333333333,35.703611111111115
京都府,134.8536111111111,136.05555555555557,34.70583333333334,35.77916666666667
大阪府,135.09194444444447,135.74666666666664,34.27194444444444,35.05138888888889
兵庫県,134.2525,135.4686111111111,34.155833333333334,35.67472222222222
奈良県,135.53972222222222,136.23,33.85888888888889,34.78138888888889
和歌山県,134.99916666666667,136.01333333333332,33.433055555555555,34.38444444444444
鳥取県,133.13583333333332,134.51527777777778,35.0575,35.614444444444445
島根県,131.66777777777776,133.38694444444442,34.302499999999995,37.244166666666665
岡山県,133.26666666666668,134.41305555555556,34.29833333333333,35.35277777777778
広島県,132.0363888888889,133.47083333333333,34.03472222222222,35.105555555555554
山口県,130.77472222222224,132.49194444444444,33.71277777777778,34.79861111111111
徳島県,133.66083333333333,134.82166666666666,33.53944444444444,34.25194444444445
香川県,133.44666666666666,134.4475,34.01222222222222,34.56472222222222
愛媛県,132.0125,133.69305555555556,32.88472222222222,34.30166666666666
高知県,132.47972222222222,134.3138888888889,32.7025,33.88333333333333
福岡県,129.98166666666665,131.1902777777778,33.00055555555556,34.25
佐賀県,129.73694444444442,130.5425,32.95055555555556,33.619166666666665
長崎県,128.10444444444443,130.38694444444442,31.98638888888889,34.7275
熊本県,129.9402777777778,131.32944444444445,32.094722222222224,33.195277777777775
大分県,130.82472222222222,132.1772222222222,32.714444444444446,33.74055555555556
宮崎県,130.70333333333332,131.88583333333332,31.360833333333336,32.83888888888889
鹿児島県,128.39527777777778,131.20555555555555,27.01861111111111,32.31055555555555
沖縄県,122.93361111111112,131.3322222222222,24.045555555555556,27.885555555555555
